Username,Text
dlrstn_,Kalo sisa saldo pelatihan yang masih bisa dibelikan pelatihan lagi th depan ga min? Thx🙏🏻
ayat_azka,"#prakerja.go.id Ko punya saya di undur yah min, seharus nya tanggal 21 desember skarang jdi tanggal 6 januari"
idaelubis,@elsamadediastina 😭😭
rizaldinaldianputra,Kalo misal dapet bantual BLT bpjs ketenagakerjaan apakah tidak bisa dapat prakerja min?
dikafadillah_tanjung,"Kasih kesempatan lulus tahun 2021 kenapa min,  bagi yang belum lulus di 2020."
abizardjait,Trimakasih prakerja
elsamadediastina,@idaelubis dengan beli uang di toko gue wkwkk
abizardjait,❤️❤️
anastasiaernita,Alhamdulillah sudah cair
rehanpraofficial,"Korupsi korupsi korupsi... Mati aja yg korupsi uang rakyat!  Ga ada otak, otak nya pindah ke pantat!  Udah kaya tapi masih kekurangan uang?. Mati aja... Mana Hukum indonesia.. YANG TERKENAL SEBAGAI NEGARA HUKUM:) BAKAR IDUP IDUP YANG KORUPSI!."
rinayulianaandini21,Harusnya cair tgl 28 tapi di dashboard berubah jadi tgl 7 januari @prakerja.go.id
yukris_nanto,Raoleh aku raono sik medun banyu udan sik medun
lagidatang,Mau nanya kalo yg lagi kuliah bisa daftar g?
lindaaandini,Min aku udah isi survei tpi belum muncul di jadwal insentifnya gmna?
rianntr_,@dewiindriyant
azhardatuk,Alhamdulillah ga pernah dapet dr gelombang 1-11 :)
alfian.rodriguez,"Punya saya admin harusnya cair dibulan Desember eh, tau tau jadwalnya berubah menjadi dibulan Januari"
shanshanti_26,Terimakasih prakerja sudah sangat membantu saya 😇
riachaquinta,"Saya kok gak lulu2 si min, daftar dari gel 8 ampe 11 gak lulus juga 😄"
puput_montok,Udah habis ya duit negara? Ngutang lagi dong ke Tiongkok😅
fadil_karman92,"Mohon bantuannya min, insentif ku skali lagi, tp nomor hp yg terdaftar ada terblokir.. gmana solusinya itu? 😢😢"
adriansyahalif,"Greget banget, udah tau diundur masih aja banyak yang nanya. Mbok ya sabar, udah enak dapet duit tp ngeluh mulu wkwk. Kasian banyak yg blm lolos"" tuh."
saaayangkuh,Min insentif survei kok keterangannya dijadwalkan aja ya dari kemaren
ellapilory,Ka bleh tnya knpa pcairan d bulan Januari k @prakerja.go.id
satria_damar.b,"Alhamdulillah insentif ke 2 sudah di saluran, terimakasih prakerja🙏"
bibin_aditiyaragha,"@prakerja.go.id min maaf numpang nanya , semisal saya mau mengganti no rekening ovo apakah menghambat insentif atau tidak soal nya no rekening ovo yg saya gunakan skrg hangus , masa aktif nya habis ? Gmna solusinya min , tolong d jawab , terimakasih🙏"
amienbowo,Belum masuk min @prakerja.go.id
dewiedhea,aku akan sabar menunggu min . walaupun sudah dikejar'kejar waktu buat bayar arisan 😑😂😂 .
kikiamalialaila,Min kan insentif yg blan desember harus nya tgl 21 des tpi pas di cek lagi mundur ke tgl 5 januari dan 21 januari itu gimana ya @prakerja.go.id
fanbaseklj,"@prakerja.go.id kok aneh yah, temenku tgl 29 cair, aku tanggal 25 malah keundur januari gimana nih"
khisana_azzahra,Pndftrn buka tfk
ellapilory,Ka bleh tnya knpa pcairan akang d Januari ka @prakerja.go.id
mamafaiha22,Iya giliran yg januari dah cair giliran yg desember jadi januari haduuuhhhhh
wahyullahwahyu,@yayukajhasay boong dah lu
juwitafebrianti4,Udah selesai pelatihan kedua cuma sertifikat belum ada😢
wahyullahwahyu,@turyadi.532 boong banget lu
khakamfirdaus,Efek di embat mensos dananya makanya tertunda
alan.widagdo,Min mau tanya kalau survey ke 2 sama ke 3 blm dikarnakan kemarin sistem error gimana ada tindak lanjut gak min mohon bantuannya?? 🙏🙏🙏
rikaanggraini15,Jdwl insentif survey tgl 15 desember diundur jadi bln januari 😂
mhmmdbadali35_,@prakerja.go.id berarti insentif ditanggal  6 januari cair nya di januari jga kak?
nopianade,Sedng dijadwalkan itu gimana ka
iinlnsr,Bisa beli pelatihan lagi gk ? Kalo bisa mulai kapan bisa beli pelatihan lagi.  Pelatihan ke 4 belum saya
farisazuarti_87,Kenapa tanggal 5 @prakerja.go.id
fzhsyvtr,"Alhamdulillah udah cair semua dh lebih awal dari yg di jadwalkan ,trima kasih prakerja untuk semuanya💞"
sepakborderi,Waduh gimana sih hadeh
enisulistiowati2,Cara daftar e gimna y
letsgo_plesiran,Trimakasih @prakerja.go.id sy dpt yg gel. 4.  Bulan ini terakhir. Sdh dpt semua insentif n survey. Sgt membantu sekali sy yg terkena efeknya covid kehilangan pekerjaan sy sbg Tour Guide..semoga bs diteruskan di thn dpn..❤️💚💝
okisandi_,Gelombang ke 3 ada lagi min 😲? 😂
sushie3837,@dekha_4646 semoga dapet ada rizkinya Aamiin
baihaki_._,@sushie3837 owh.....
arifajalaha,prakerja gelombang ke 12 kapan di buka admin
azzam.nursyahid,Dpt lgi gk sih nntinya? 🙏
rouza1705,@prakerja.go.id ...Maaf min... evaluasi kedua saya sudah saya selesaikan tapi jadwal insentif saya belum keluar min
sushie3837,@baihaki_._ iya daftar terus
ikky_copel,"@prakerja.go.id yang jadwal insetif nya tgl 1 gmna ?, apa di undur jadi tgl 5 ?"
agunk_arya,Semoga tepat sasaran dan diberikan kepada yg membutuhkan ya. Walau tak lolos dan tidak menpatkan bantuan dari prakerja tetapi selalu diberikan kemudahan dan rejeki oleh yang maha kuasa selamat ya yang telah lolos semoga lancar 🙏
yalla.thathaumi,Aq juga sama yg td nya tgl 28 jd tgl 7 januari.. bonus survey nya 2 x utk tgl 10.
lia_admirable,"Iyaa nih insentif berubah jadwal, dari 22 Desember ke 6 Januari 2021."
natinkartika,"Alhamdulillah @prakerja.go.id trimakasih, semoga menaburkan banyak kebahagiaan, keberkahan dan manfaat bagi kita semua"
adelinechasya,"Makasi banyak prakerja...pelatihannya sngt membantu saya, insentifnya sngt bermanfaat juga, suwun🙏🙏🙏"
ristianaartaria21,"Survei evaluasi 2 dan 3 ga bisa, sampe hbs tanggal ttp ga bisa."
efendi.ardiansyah,Saya dari gelombang pertama sampai 11 belum beruntung😭🙏
positif.thingking.5682,Aku daftar ngga lolos terus 😭😭😭😭
sfhya,"Payah, padahal uangnya aku butuh min bangettt"
raditha13,Terima kasih prakerja
yulia_new95,Kalau dana survay belum tersalurkan
ilakholillah,"Intensif survey tgl 14 desember tapi masih di jadwalkan terus, intensif yg 600 tgl 27 tapi mundur jd tgl 7 januari"
muhamamad_rifky,Insentif survei 2 ko belum cair min?
marcellino_riz,Yg gak lulus lulus in gmn min udah berapa gelombang msh aja gak lulus !!!
gangertilagideh_,Ada apakah gerangan ? Kenapa bisa jadi januari ? @prakerja.go.id
kukuh_dp27,Pengen komen toxic males ..
awie_md,Admin mau tanya Survey ke 2 sy tdk muncul di dashboard prakerja mohon penjelasannya..??
pulseofthe_ydner,Min setelah dpt insentif pertama lalu isi survei nya kpn ya? Mksdnya mnunggu brp lama setelah insentif pertama sdh trkirim? Trima ksh...
syaqilaptr10,"Min, kalau yg survei 2 & 3 tidak muncul sampai sekarang gimana yaa?"
riska_assyiffa,. @niakrzky  pantes lh mbak kwkw
fauzanmufh,Udah 4x ga lolos ntah dosa apa yak 😂
ucep01,Alhamdulillah 🙏
depranseptiana,Tngal 20 Desember udah cair tnggl 14 kemarin👌👌👌
ahmad_muhaj,Kalau menurutku ya ikut liburan cuti kali 😀 adminnya
faiqmarully,Punya saya yg tadinya jadwal tgl 25 berubah jadi tgl 6 januari min
putrimisdianti,Jdwal tgl 14 des cairnya januari😀😀😀 lucu aja
edikususan,Kecuali dibuka khusus yg dah daftar tapi ngak lolos baru ok
putrimisdianti,Lamanyaaa hahaha dananya kemana emng.. ntar d korup pulaaa🙄🙄🙄🙄
wiwik_sweet,Punya saya blum cair2 min insentifnya padahal udah lulus pelatihan sampe sekarang blm jga ad cair @prakerja.go.id
ewily25,Negara keabisan duit apa min.. Nanya doang..
notriefu,Asal ada kepastian aja 👌
natan_jo,Trimaskasih praa kerjaaa
tuluslusman,"Sama saya juga admin didashboard berhasil, tapi direkening belum masuk Thnks"
ughe_haryadi,"Alhamdulillah sangat membantu , d situasi kaya gini @prakerja.go.id"
chuzttbundacilla,Mau tanya saya sudah isi survey ke 2.tapi gak muncul didasbord. Dan saya juga tidak ada jadwal survey evaluasi ke 3
yu.mbayu,@nedyjunaedi mksdnya gak lolos prakerja?
librapangrib16,@dio_ardo 🙄🙄🙄 Bagilah utk aku yg kekurangan uang ini. 🙃
yu.mbayu,alhamdulillah sudah semua
riko__kurniawan,Kalo udah selesai bakalan dpt lagi ga ya kira2 insentif
asry_winartii,"insentif tgl 1 jan cair tgl 14 des, alhamdulillah udh cair semua, terimakasih prakerja 🙏"
ditasulistiani588,@dilorakautsara
putrijuwanyar,Untuk gelombang prakerja blm ada lagi ya min?
elzed_quotesmix,Min @prakerja.go.id yg ini akun fake atw asli min 👉 @prakerja_1818
salwaaulia75,"Saya daftar gagal trs min ,gimana caranya min @prakerja.go.id biar bisa insentif"
aryono1983,Alasan diundur kenapa ya mimin @prakerja.go.id ? Suaranya mana nih yang intensif desember diundur januari
galihsptwn,"@prakerja.go.id  maaf min mau tanya, untuk peserta gelombang ke 1-3 gimana kelanjutan nya? Apakah ada program atau pelatihan lagi?"
sitaaoktavia,dr tgl 25 des jadwalnya jadi tgl 6 jan wkwkkw
mhmmd.fachrizal,"Min saya tanggal 6 Januari nih, tadinya tanggal 22 Desember eh tau-taunya diundur, tapi tak apalah"
difitaaaaa,Cara dapet insentif survei gimana ya? Untuk gelombang 11
sanoya_agrasa,Di dashboard tulisannya. Berhasil di transfer. Tapi ko pas di cek saldo rekening belom masuk @prakerja.go.id
_wnnddy,harusnya cair tgl 25des jd 6january rada sedih si :( tp gpp deh yg ptg cair xixi
ardhika_pradana,jadwal 25 des . jadi 6 jan . padahal rencana mau kepake buat tahun baru . jadi harus putar otak lagi deh . huhuuu
luvianawahyuni31,Alhamdulillah min insetif tgl 22 sama survey tgl 15 barengan cairnya pas tgl 14 meskipun di dashboardnya ket msh dijadwalkan tpi di gopay dah masuk alhamdulillah
thia_1405,Aq ko ga pernah bisa masuk klo daftar ...bacaan ny selalu email sudah terdaftar mohon verivikasi email to ga bisaa msuk itu gmna y ka
egaa_vartama93,Jadwal 25 tgl 17 dah cair?? Makasih pra kerja🤸‍♂️🤸‍♂️🤸‍♂️
mohrizkyyy8,Kamu ga lolos prakerja? Jangan khawatir!!
yudhaprawirap_,@hidir90s nah kan
lifiana_n,@prakerja.go.id terima kasih❤️
dealovegood,Min ko bisa yg tadinya jadwalnya buat bulan desember tapi di undur jadi bulan januari. sementara buat bulan januari udah ada juga yg cair
pen.carinafkah99,Min gelombang 12 kapan?
hidir90s,@yudhaprawirap_
miflaqul,Tgl brp lgi buka pendaftaran kak?
abigailuchiha,Alhamdulillah insentif saya dipercepat. Trima kasih @prakerja.go.id
adla.aulia,Kok ada yg tgl 30 desember sudah cair sedangkan yg tgl 22 diundur januari. Knp gak sesuai tanggal sih...
cii_agustin_025,Maaf mau bertanya. Jika saldo pelatihan masih ada apakah insentif januari masih cair yaa min
neng_jujukk,Admin gimana cara ubah no nik di dasboard
dess_lid,@rhanii_hrp oh iyya..akunya belum. Dijadwal tanggal 14. Udah lewat malah...😊
mahdar_ryan,Kenapa insentif saya diundur min harusnya Minggu ini tapi Di ubah jadi Bulan depan??
aflrstya,"Halo assalamualaikum teman"",,saldo saya di prakerja itu msih dan insentif sudah 4 kali cair, apakah next akan ada insentif lagi?"
indrarp29,Mo
indrarp29,Min insentisnsaya kok yang cair tanggal 1 Januari kok diundur menjadi 8 Januari ya
miflaqul,Selmt malm
putri_fauzi2112,Intensif Tanggal 22 dan survey pertama uda cair pas tanggal 14 😅😍notif masih dijadwalkan tapi udah meleleh di link aja
liyan_ahmat,Pengumunan pemenang vlog dong min 😇
_icmalstp,Ya jadwalnya bulan Desember di undur ke Januari berarti cairnya Januari ya min?
rhanii_hrp,@dess_lid saya udah
r.n.d2202,Kak platihan saya sudah lulus tapi kok d dasbord masih aktif ya
ikarizki_ananda,Min @prakerja.go.id jadwal insentif survey kedua belum muncul di dashboard. Dan survey ketiga belum muncul untuk diisi. Solusinya gimana Min ?
teana.setiawati,Punyaku harus cair tgl 25 Desember malah mundur tgl 6januari...kok kayak gitu knp minta... @prakerja.go.id  mohon penjelasannya
dess_lid,@rhanii_hrp belum
iwanruswandi07,Alhamdulillah aku mh udah jdi alumni 😅
febriarifsaputra,tolong segera transfer BNI 0950144292
yusufponiman,Pantesan bulan ini tgl 6 january ya allah sampe nunggu😢
ariansyah_411,"Min mau nanya..knp tertulis sudah berhasil, tapi pas saya cek kok gak ada masuk...??"
gfronalfjr_,@fx.febrie tanda² apa
evanr.alia,Min kenapa halaman dashboard masih blank putih? @prakerja.go.id
gunjezzz,Insentif desember sengaja di mundurin biar kalian2 ga pake uang nya buat liburan akhir tahun. Wkwkwkwk
adelia.rifani,Survei ku yg k 3 malah kgak muncul2 KNPA ya kk..
josua04_,Min yg kemarin Blum bisa beli pelatihan di tunda ke bln januari ya min
matkends,Nih gimana insentif saya sudah berhasil di transfer cuma di akun gopay saya gak masuk²... soalnya akun gopay udah ganti nomer....
fairuzrizkyrafif,Yang udah isi survey 2 ke 3 jadwalnya gakeluar yukkk ngumpull
r1.ridwan,"Sebagian besar insentif bulan Desember telah tersalurkan, tapi tdk dg saya bagaimana yg tgl 27 Agustus 2020 min?? @prakerja.go.id"
d.lysaa,Woalah pdhl butuh banget
neman_doang17,"Alhamdulillah insentif tanggal 28 desember, udah cair lebih awal 🙏🙏🙏 Terimakasih Min sangat bermanfaat sekali"
dodymata,4x gagal  bisa apa
yaldhy_all,Min insentif survei saya kok gak muncul yah padahal sya udh isi surveinya min tapi smpai skrng blum di proses tdk muncul di jadwal min???
r1.ridwan,"Sebagian besar insentif bulan Desember telah tersalurkan, tapi tdk dg saya bagaimana yg tgl 27 Agustus 2020 min??"
__.asgard,@sushie3837 semoga aja dapet kalau engga ya gpp mungkin belum rejeki nya
abii_aoreansyah,Min mau nanya. Saya dari gelombang pertama sampai sekarang kenapa tidak bisa lolos?
lilyunuss,"Admin aku pe survey yg 150ribu yg ke 2 blm cair, trus tanya jawabnya blum muncul""😭"
fazriyahziyah,Ini knp tanggal pencarian berubah semua😭 coba jelaskan @prakerja.go.id
elisa.triana_,Sedih deh :(
luvianawahyuni31,Alhamdulillah min insetif tgl 22 sama survey tgl 15 barengan cairnya pas tgl 14 meskipun di dashboardnya ket msh dijadwalkan tpi di gopay dah masuk alhamdulillah
anaylumeda,"Sepertinya terkendala akhir tahun,ada libur panjang natal , tahun baru dan kebanyakan lembaga keuangan biasanya laporan akhir tahun,tutup buku dll, keseringan gajian dimajuin malahan...jadi antisipasinya dimundurin dari jadwal, amannya abis ditgl"" libur tahun baru ...CMIIW"
mahyubhayu,"Bgaimana jk belum menerima survey 1-3, peserta gelombang 11"
si.wul,"Min, saya udah ikut survei kedua tp gak ada jadwal insentifnya"
zikrisand22,"Kenapa insentif saya tgl 21 desember di ubah jadi 6 januari, tolong infooo nyaa kocaak !"
awaludin_cahyono,Lega kirain gw doang yg berubah tanggal Nye 🤣🤣 untung 6 Januari ga 11 Januari kayak judul lagu
suryanenda,deretan para pendaftar dr gelombang 1 sampe gelombang skrng blm lolos jg
fx.febrie,"@gufron9030 sama, sudah isi survey tp g muncul d jadwal, sepertinya tanda2 ini hehe"
doddyhussen,Insentif saya blm
cahya_mega22,Min insentif survey kedua kok blum muncul sampe skrg??padahal uda ngisi survey pas tgl 9 lalu
arifin_photography_akatsuki,"setelah insentif udah didapat semua,apa next kedepannya ada insentif lagi min @prakerja.go.id"
rinda.prtiwi,Insentif akan di lanjutkan di tahun 2021 engga ?
rhanii_hrp,@dess_lid udah
martianiriniiiii,@memerrmarlinaa harap bersabar 😂
haniyyahrizal,@prakerja.go.id Sore min di dashboard statusnya berhasil ditransfer tp kok di  rekening ms g ada pemasukan😢😢😢
turnipdith46,Gw jadi gk bisa shopping2 akhir tahun karna blum cair admin 🗿
