Username,Text
alfarisyalfa83,"Halo @prakerja.go.id , kok ga ada respons sama sekali sih soal keluhan saya. Sertifikat sampai saat ini belum ada di dashboard prakerja, padahal di kemnaker sudah beres. mohon solusinya"
resafa_14,Jadi kalo seharusnya jadwal cair nya tgl 27 desember ini akan diundur gitu yah min di bulan januari? Tolong pencerahannya min @prakerja.go.id
elsya.fitriyani,@prakerja.go.id  saya sudah menyelesaikan pelatihan dan sudah mendapatkan sertifikat tapi insentif belum cair juga kenapa ya ?
ryankonelo888,Emang kalo masalah libur mah udah paling segud banget kalo bisa mah libur dari januari 2020 sampe januari 2021 ya @prakerja.go.id. belom nanti 5 januari abis liburan lagi males2nya kerja baru efektif pencairan tgl 7 karena tgl 5 itu hari sabtu wah libur lagi nih 😄😄 udah itu senin cuma ngubah status2 doang itu pun udah sore. Baru besok tgl 8 atau tgl 9 pencairan dimulai dengan lambat. Yg cair nya tgl 28 29 desember dirubah jadi januari tapi cair nya sekitar februarian karena skill dewa cara bekerja tim @prakerja.go.id
saptarini97,@prakerja.go.id mau nanya saya udah ikut program dua kali dan programnya udh ada tulisan selesai dua² nya tapi ko ini insentif nya yg kedua ko belom cair² yaa..
rdj_id,Gelombang 12 buka lagi di januari apa ngga min?
febrita.ayu,Harusnya insentif tgl 28 Desember tiba-tiba berubah jadi tgl 7 Januari😭😭
syafrizal_manullang,"Jadwal 29 Desember , 15 Desember udh cair min 👍"
finnyshe,"Insentif surveiku kok ga masuk ya jadwalnya min, mohon bantuannya 🙏"
murdiasih7,"Alhmdulullah ya Alloh,sy lolos gelombng 4 intensif semua sudah sy terima,sampe survey keberjaan 3 kali,terimakasih prakerja,terimakasih pak JOKOWI,terimakasih juga lembaga peltihan Studilmu,berkat sy ambil peltihan d Studilmu sy dpat kesempatan bergabung jadi pendmping pltihan Studilmu,dn  dapat penghasilan lain lagi..❤️❤️❤️❤️😊😊😊🙏🙏🙏"
pratamanugraha93,Yg awal nya 1 januari jdi tgl 8 knpa ya min .itu berubah padahal 1 january bnyk tuh cair
indahipip,"Sekedar info utk semua, harap lebih hati"" dgn banyaknya akun IG yang mengaku dari tim PRAKERJA! kmrn sy hampir kena tipu mengatasnamakan prakerja..smoga kita semua sllu dlm Lindungan Tuhan. dan utk prakerja Terimakasih utk sllu mengusahakan yg terbaik 🙏"
ningswp,Iya jadwal 21 des 20 knp mundur 6 jan 21 ya...padahal sangat berharap
iiimaam_,Gelombang 12 kapan min
wildan.prakoso,Insentif tgl 21 kok mundur ke tgl 6 Januari? Ada yg sama gaak
28maulanayusuf,"Min BLT kan januari di perpanjang , katanya ,nah ini gmaana perpanjangan insentif ngga min buat 2021 @prakerja.go.id"
anitaalfr__,"Insentif aku di dashboard sdh berhasil ditransfer ke gopay setelah dicek akun aku keluar dari gopay dan nomor telpon yng itu sudah tidak aktf lagi, udah spam email kepihak gojek minta gantiin nomor baru dan al hasil bisa diganti dan ternyata akun aku ga bisa di upgrade ke gopay plus kayanya sudah terdaftar kegojek sebelumnya padahal akun aku keluar aja dan ga bisa diupgrade smpai sekarang gimana min, hilang semua ya uang insentif akuuuu😭😭 @prakerja.go.id @gojekindonesia"
ipunkwantea,"Untuk tim Prakerja terimakasih sudah kasih kesempatan,insentif sy sudah cair semua,salam dari gel 7"
fitrifbrna,"Min @prakerja.go.id mau tanya dong, saya sudah ikut survey ke 3. Tapi sampe sekarang tanggal insentif survey belum muncul, terus gimana ya?"
ichaa_1308,Min apa sisa uang saldo pelatihan Cair? @prakerja.go.id
ekaa_yunii,Gak bisa isi survei 2 dan 3 😭😭😭
alinz17,Ga bisa cair karna salah nik😭 dan ga bisa rubah nik😑 hangus sudah
memeysaputri93,"Kalo udah cair semuaa ,tahun depan dapet intensif lagi gk min ??"
alfan_un,Woi Min @prakerja.go.id pembukaan glmbang kpn lagi? Saya ini loh daftar dr glombang 3 sampai skrg gak lolos? Buat surat pernyataan pun gak ada respot atau gak bisa dikirim NB: KLO KASIH SOLUSI YG TEPAT DAN BISA DI REALUSASIKAN DONG BOS!!
yanii_sorongan,Tgl 22desember udah cair tgl 14kemarin...🤩🤩🤩
miraahanii_,"Min mau login ke akun gojek saya tapi no hp saya terblokir min,jadi bagaimana itu min😭"
tiiaa05__,"Tpi kenapa yg tgl 22 des belum cair ,malah ke januari sedangkan yg 27 desember udah cair , kalo mau adil itu desember semua dicairkan dari tgl 1 smpai akhir desember , ini engga , malah gk rata yg cair gimana , seharus nya bijak dong kalo di undur undur aja semua nya jng ada yg diundur dan ada yg cair 🙏 sama sama saling membutuhkan juga tolong lah bersikap adil 🙏"
arga_piero,Min ini jadwal insentif tgl 25 desember knp bs mundur tgl 6 januari. Sedangkan temen q tgl 29 des malah tgl 16 des kmrn udah cair
agusrin28,Apa tidak ada rencana di perpanjang  lagi ini penerimaan insentif #sangatberharap
ddandriana49,Dah dikorup
pawon_homade,Saya aja gak pernah lolos gak tau rasanya pelatihan kerja & dpt insentif😅
briliantoko,"Alhamdulillah, insentif pertama sudah cair (lolos gelombang 11)"
qodirrr,Rencana mau buat liburan tahun baru. Jadi hancur wess. Anjiiimmm diundur Januari cairnya 😭😭😭
qayraotw,Insentif alhamdullilah sdah d percepat cairnya....
junisitumorang95,"Min Ovoku kobisa jadi tampilan Cerdas berfinansial padahal udah ikutin prosedur yg diberikan dari ovo tp belum berubah, mau cek insentif gabisa min 😭😭"
novannoviandi95,Min tolong cek DM saya @prakerja.go.id saya dapat telpon dan chat wa dari orang yang gak dikenal apakah benar dari pihak prakerja ? @prakerja.go.id
sinyoo23,Tempat saya dr gelombang 11 sampai skrng blm cair2 keterangannya aktif trus
ardian_kanata,Insentif evaluasi ke 3 blm ada di jadwal min.. padahal udh isi evaluasi bbrp minggu yg lalu.
jamesdzein,"Ass slmt malam. Mohon penjelasannya kenapa soal survei ke 2 dan 3 saya tidak muncul di Desboart pdhal tiap hari saya buka desboar gak muncul"" sampe tgl 15.  Tolong dibantu....mksh"
titiruga92,Ah parah ni di kok di mundurin sih
aniszulfiah,Bakal ada lagi ngga ya ... prakerja thn 2021
putrahmdni07_,"Min, saldo sudah masuk di link tapi gak bisa ditransfer itu gmn solusinya?"
wbher_,@prakerja.go.id untuk pilihan ubah nomor kenapa tidak tersedia lagi min?
saur_yulianti,Puji Tuhan sudah cair..🙏 terimakasih @prakerja.go.id. sangat2 menolong saya insentif maupun pelatihan2nya.. semoga thn depan akan ada lg bantuan2 dari pemerintah seperti ini🙏
ridhondikas,"Min kalau status di dashboard berhasil ditransfer, ditekening belum masuk, itu kenapa yah??"
nathanks_98,"Min, saya sudah selesaiin pelatihan pertama saya sebelum tgl 15 December, tp sertifikat saya gak muncul.. mohon dibantu min @prakerja.go.id 🙏🏻"
jiwang_22,punyaku yang tadinya tanggal 25 desember kok jadi tanggal 6 januari kenpah yah?
rivaldi_ipank,"Kelamaan,,,hrusnya cairin aja yg bln ini semua..."
yuyun_1614,Admin saya sudah dpt notifikasi kalo insentif ke 7 sdh cair tp stts di dasbord saya harusnya tanggal 26 eh berubah tanggal 7 januari. Yg saya tanyakan kok saya dapat notifikasi kalo insentif saya ke 7 sudah cair. Apakah ada kemungkinan dlm wktu dkt akan cait
auliaafahmiii,Yg harusnya cair tgl 25 des malah ganti 6 januari😭
akuamrul_,Min bantuan prakerja lanjut sampai 2021 ya ?? Kok saya dapet informasi sampai 2021
jr_obt,"Di akun udah cair ,tpi kok di atm blum masuk ? Mohon info"
mety_safii88,"Tadi pagi dapat notif di dashboard akun prakerja saya, kata nya insentif ke 7 sudah cair. Maaf nih, kalo nggak salah insentif ke 7 kan yg 600ribu terakhir itu yaa? Tapi dijadwal cair tgl 7 januari. Pas cek ke atm juga belum ada dana nya masuk. Itu gimana kak maksudnya?"
mryks_,@prakerja.go.id min klo terlambat pelatihan lewat tgl 15 desember kmrin apakah akun prakerja kita dapat kita gunakan ulang ditahun 2021
d_apriani,"Kak, kmrn sm dpt ngisi survey baru 2 soal trs gak muncul jdnya sy gak bs dpt mengisi survey dan tdk mendapatkan transferan jd nya survey 2x tdk bs dilaksanakan trs udh nanya ke CS tp gak di respon"
wicanwijayanti,Udah ngisi survey tapi ga ada jadwal insentif di dashboard
sunardi.nardii,Ada yang dapat wa yang mengatasnamakan prakerja?itu betul kah dri prakerjanya?
oliversanan,"min insentif perpanjang min , psbb di perpanjang mulu kan😭😭"
bennedick.joshua,Heii admin tolong dong yg bener ini masa harusnya insentif desember diundur ke januari? Ga profesional bgt ini program pemerintah punya kaya begini cara kerjanya
mputriyani.82,"Padahal udh kaga ada pegangan uang ,gak kerja ,eh di undur sebulan lagi ,kapan corona berakhir ,biar punya pekerja ,"
zulfaa81,Gelimbang 12 kapan buka min. Bales dong min
auliya.cmprnk,Tadi siang saya dpt telpon dri prakerja kata ny admin trus dia minta saya nyebutin no rek saya jd sya lngsung curiga...lngsung sya matiin lngsung sya blokir wa ny...trus nelpon biasa lg itu nomor dan ngaku nya admin prakerja lg.....hati* ya klo ada yang dpt tlpon kya gtu juga bnyak akun atau oknum* yg mnyalahggunkn  prakerja @prakerja.go.id
restu_alpianita,Insentif saya kok diundur min? Harusnya tgl 22 desember knp jd 6 januari
yukitiaravalensea,@m.agussalimhusean02 tuh
_ing88_,Nyoba daftar dari gelombang 1 tapi ga bisa masuk terus karna nomer nik ga sama dengan tgl bulan thn lahir.  Ada solusi ga biar bisa ikut prakerja ?
roy_ignasius1603,"Min, saya daftar kartu prakerja sampai sekarang kode verifikasi belum saya terima dari email saya."
_eadauhan07,kapan lagi pembukaan gelombang 12? org yg kerja gaji di atas 4 jt dpt saya yg tidak kerja malah gagal terus aneh
linda.shakila,Mo info...hati2 ada akun ig prakerja palsu. Barusan saya di add tapi saya tidak menyetujui.
gusti_izna_026,"Sebelumnya terima kasih prakerja telah membantu beberpa buln ini dan bonus survey😇,,tpi knp insentf desembr diundur ke januari?yaa min😂padhl kn cuti hari raya dan thn bru di batalkn.artinya tetap kerja seperti biasa😁😁"
neisyayaa,Kehabisa dana ya jangan2 mangkanya diundur semua prakerja hahaha
vizailani18,@ella_wati07
inth_037,@vhyna_dongga @rahmawanty_nurfajrina
chupykecy,@riaikasafitri km ud cair blom
henimutiara_,@fitrialdo_
trayanggraini,Min kenapa pencairannya diundur deh padahal udah ditunggu banget 😭
damiadewi,Alhmdulilah insentif harusnya cair 29 des . sudah ditransfer lebih awal kemarin . terimakasih prakerja 🙏
yemuelkaban,Saya kenapa belum keluar jadwal insentif saya min?
_nodakertas_,@prakerjaaaaaa apakah akun ini benar dari prakerja . ini dia minta data ngak saya kasih. @prakerja.go.id
yuda_sinuhaji,"Kok di undur ya kk ,padahal saya besok cair ,malah di undur ,kacau x ni padahal besok cair jadi di undur"
menjelangfajarr,@febri_ramadanty  cuma bantu jawab yang lu bikin status di fb 🙏 maaf bukan maksud apa2 mungkin bisa membantu
nizarrulhaq,Bhahaha dah lah min males . Aku sudh mengikuti pelatihan dr @binuscenter dr bln september . Smua pelatihan sudah dselesaikn. Tp smpe skrg setifikat g kluar2. Heran . Aneh. Ud komplen ttp aj jwaban dr si @binuscenter ga memuaskan . Hati2 bagi tmn2 klo pilih pelatihan.
irwansyahputra_98,Kapan min buka gelombang 12😥😥😥
justshinnta,Karna mereka harus tutup buku akhir tahun gais. Jadi insentif survey pending
santihartati_,Kenapa yg desember jadi mundur ke januari😭
nike23febrianipurba,@sundarii_26
suryohads,Terus kalo yang udahan 4 bulan dpt insentifnya apa bisa dapet lagi ?? @prakerja.go.id
y.nenih,Alhamdulilah tnggl 23 udah cair tnggl 14. Cma yg survei d undur 1 jd tnggal 5 januari. Alhamdulilah sangat bermanfaat sekali n mmbantu. Trimakasih🤗🤗
jeesaantanaa,Insentif sy tercacat tgl 22 desember sekarang kok berubah tgl 6 january kenapa ini ??? Tolong dijelaskan.
mochsyaepulrohman8080,27 desember 2020 batal... jadi 7 januari 2021 @prakerja.go.id
fregiriyand,"Udah ngisi survey 2+3 ,tapi yang 2 ada kendala pas ngisi survey yang 2 tiba2 ketimpah sama survey ke 3 ,selesai ngisi survey ke 3 namun yang ke 2 ga muncul lagi ,alhasil jadwal insentif survey ga muncur dari minggu lalu ,nyoba chat cs di web susah gamasuk terus / overload antrian nya ,nyari searsing yutube ga ada ,temen2 pada cair survey 2 - 3"
aliefdsgn,Cara lolos kartu prakerja gimana? Dari gelombang 1 gak pernah lolos ey :(
fathurmuttahar,Aku udah dari September min @prakerja.go.id tiap bulan hubungin disuruh email mulu.
_xdinnd,"Ko insentif survei aku jadwal nya tgl 15 Desember tapi sampai skrg belum cair ya min,aku ganti rekening dari Ovo ke link aja soalnya kartu nomor yg trdftar hilang sama hp2 nya min"
sryoktaviani24,"Admin ko ewalet keputus yaa,udh gtu mau d sambungin lagi malah ga bisa?ada yg gtu jga ga???"
magicaaay,Min pengajuan untuk aktifin kembali prskerja gmn? Mohon infonya 🙏
fadilah_fadil99,Intensif sbelumnya tnggal 25 dasember .bruba menjadi 6 january 😢😢
nurul_yubanka,"allhmdulillah sudah cair ,cuma yg survey aja ad yg belom cair"
fikrinlah,Harusnya turun desember rapi di undur kejanuari huhaaaaa
igrisal,Kenapa di undur min
putripintapriana,siapa disini yg di gelombang 11 tapi di kolom Daftar Gelombang masih aja kosong?????
yuliansi_01,Saya sdh mengisi semua data insentif nya terus jdwal cair insentif ny jg udh lewat pemberitahuannya sdah di transfer ke rekening tpi ngak masuk²
fitrianzoldan,@j.c___lar jawaban atas segala pertanyaan
fitriyales,@emoetocha
midah1432,Min kapan gelombang 12?? Buat kakak saya
zainalrasyid6,Ada yg mau beli prakerja saya? Sisa 1 bulan sama survei nya 1x . Lagi butuh uang
cakyung_,"Admin ini gimana di dasbord insentif jg berhasil di transfer tapi belum masuk di gopay,trus juga jadwal insentif yang semula 22 desember mundur jadi 6 januari"
andylim_1991,"Alhamdulillah cair nya 2 hari sebelum tanggal 20, sempet kecewa katanya yg insentif dari 15-31 Des ini di majukan pencarian nya sebelum tgl 15 ditunggu udh lewat tgl 15,eh tgl 18 cair"
ocharozhaa,nyoba berkali2 tp gx prnah brhasil
bannqe,Saya daftar prakerja ko belum masuk gelombang 11 padahal udah daftar lama. Kapan gelombang 12 dibuka ?
dewi.citramulya,Sya sllu di emaik klo saya blm isi  rating dan ulasan padahal sdh berkali2 sya isi..tiap isi rating sllu gak ke save..tiap hari sya isi rating pas bsokx di cek gak ke save lgi hilang lgi gambar ratingx.gimana dong
sukisiwandoko999,Yg sudah habis intesifnya tahun depan dapat lagi tidak ya
ummi_rania_rakhaa,"Sudah dpt notif klo insentif ke 7 udh cair tp bgitu buka OVO belum ada dana yg masuk 🤣 insentif ke 7 berarti insentif terakhir kan 😂 3 insentif survey udah cair semua,tinggal insentif yg desember aja belum cair"
rokim_idn,2021 buka lg gak gelombang nya... Kangen evaluasi gagal evaluasi lg gagal lg wkwk
joewijaya90,Saya dijadwalkan tgl 26 Desember knapa berubah jadi tgl 6 januari.yg sebelum tgl 26 sudah pada cair .yg tgl 26 blm cair via gopay
nng_susan,Utk thn 2021 apa masih ada insentif lagi setelah menerima insentif secara keseluruhan?
triu795,Min sampe sekarang kok belum masuk intensif pelatihan sama survei ke link. Di email ke prakerja ga ada tanggapan gimana
rezhavdw27_,"Mohon maaf sebelumnya, saya mohon bantuannya, soalnya saya butuh sekali uang ini untuk membayar Ansuran BPKB yang bakal jatuh tempo pada tanggal 23 Desember 2020, saya bingung harus mencari kemana uang ini, sedangkan penghasilan saya kerja hanya cukup untuk makan sehari hari, jadi saya mohon dengan hormat agar insentif 600.000 cair sebelum tanggal 23 Desember 2020."
danboru_madao,Gimana nih kok insentif saya berubah dari tanggal 21 desember jadi 6 januari padahal saya udah butuh uang nya
dickysatir,Admin status insentif sudah berhasil ditransfer tapi di Dana belom ada masuk?
armun_ackerman,"Gelombang 12 kapan min ,beri kesempatan kami gabung dari gelombang 2-11 gak di kasih lolos ."
ramadha1954,Saya mau tanya..insentif saya yg ke 2 bulan kemaren udah masuk tanggal 18.yg bulan ini kok blm masuk ya ??padahal udah tanggal 20 saya via BNI tapi yg harus nya cair tanggal 24 tanggal 14 kemaren udah cair via BNI .kok bisa pilih kasih kaya gitu??
adhitia_ramadhana26,Kok uang 600nya diundur sih min jd bulan depan kan butuh buat sangu tahun baru.
ardianmaheswp13,"Apa sisa dana pelatihan gak bisa cair kah?krn kan klo di lhat lihat itu sisa hak kita,mengingat pandemi masih terus brlanjut gak karuan gini🙏"
dewiexp,Saya dapat email dari prakerja karena waktu daftar gak pernah berhasil dan disuruh buat surat pernyataan.. apa kalo saya buat surat pernyataan bisa masuk? Ata u harus menunggu gelombang berikutnya?? Mohon dijawab🙏
rifayanti10,Mohon cek dm min 🙏 saya mau nyambungin e-wallet ke akun prakerja tapi gagal terus. Tolong solusinya
sofyan001122,Min... Apa skarang transaksi di semua dashboard sudah di tutup?? Mau sambung rekening koq ga bisa bisa?
zmitayulliani_,Ada yang sma ga? Di dasbord udh berhasil ditransfer tpi dilink aja nya blm muncul saldonya?? Gmna nihh
rhiskagustianaa,Hallo semuanya .. saya mau sharing .. barusan saya kena tipu yg mengatasnamakan PRAKERJA. Jd dia kirim kode otp dan lain2 lalu saldo ovo saya hilang. Saya yg terlalu percaya krna si penipu dm dg akun atas nama PRAKERJA dan WA atas nama prakerja .. buat teman2 hati2 ya
ghn12345678,Apakah insentif prakerja akan di tambah 4 kali lagi katanya jika dapat prakerja tidak dapat blt jadi kalau blt di perpanjang insentif nya prakerja juga di perpanjang insentifnya di 2021
harjoko.dwi,Kalau niatnya buat bantu yg kena PHK/nganggur ya jgan di persulit dong min
ghn12345678,Semoga insentif prakerja di tambah 4 kali lagi amin
desi.jayusman21,"Kak mohon solusinya bagaimana di dasbour insentif saya telah di tranfer,,,tpi aktualnya pas di cek ke atm blum ada masuk dananya,,(🙏🙏🙏🙏"
9lamlock,"SEBAGIAN. Ga adil sih ini namanya, sebagian tersalurkan sebagian ditunda, insentif yang udah dijadwal desember ini diubah jadi januari dan bukan tanggal 5 tapi tanggal 7. You better have a good explanation for this @prakerja.go.id"
lordsmobileindonesiamarket,Para pekerja dapat subsidi extra di 2021 pertanyaannya apakah subsidi di prakerja tidak di buat extra juga ?
igpadityasaputra,Kalau sudah slse pencairan insentif sampai 4x apa bisa daftar prakerja selanjutnya
boedjang_leglog,Admin..gimana nih didasboard dana insentifnya sudah berhasil di transfer.Tapi ko di Ovo belom ada masuk...🤔🤦🤦 Gimana nih..?
sawaliajj,apakah yg sudah terbaftar bisa ikut lagi
_ocyxx,Yaela udh berharap hari ini cair sue bgt diundur smp januari pdhl lg penting2nya sial bet
mugiwara_betta13,"Kok insentif saya di undur ya , dari tgl 23 desember kok jadi tgl 6 january"
lennihutasoit2,❤️
rizkydesniar,"Hati2 guys penipuan dari akun prakerja yg serupa tapi tak sama,ngaku dari cs prakerja ingin bantu supaya dana cepat masuk ewallet malah isi ewallet digasak habis,hati2 sekali lagi guys,cek lagi akunnya resmi apa gak"
septian.mario,"Min saya uda dpt sertifikat pelatihan..,tp koq saya gk bs login ke dashboard akun prakerja min..??mohon penceraha nya min"
dhimaz_henuk,pokok nya jadwal insentif bulan desember dri tgl 20 ke atas di undur ke january 🤣🤣
febridekkarizal,sya kemaren tidak mengisi survei apakah saya masih dapet uang intensif 600rb min
linudnud,Tapi saya belum dapat gmna caranya
hy.nira,@laylalarasaty
arjunadj_17,Kak kenapa gak bisa ganti nomor telepon di akunnya
rahma.wti,Cek dm min
suryanaiyan761,"Min kenapa diubah kejanuari?  Saya tanggal 25desember jadi 6 januari ,padahal buat bayar kontrakan min sama listrik 😢"
akbargreen14,"Gimana sih pemberitahuan insentif berhasil , tapi di ewallet ovo kok belum masuk"
rayuli07,Kalo sudah pernah lolos di gelombang sblmnya apakah bs ikut daftar digelombang selanjutnya
muhamadsodiik,"Min yang sudah ikut prakerja, bisa atau tidak ikut lagi ditahun depan?"
alfarrrrr_,"min ini gimana,, saya mau menyambungkan rekening kok gagal terus kalo pake ovo,, padahal kode otp udah masuk terus udah di mssukin ke akun prakerja kode otp dari ovo nya."
kiki_demank,Kenpa sy jd di undur tanggal 6 januari.. bukan di majukan.. gimana sih !!!! Sy kan biuat nyr kontrakan... !! Seharusnya di majukan bukan di undur... !!!! Td aja survey isi pelayanan kurang memuaskan !!!!!
mamey_triani_charo,"udh gx ush di lanjutkan lagi gelombang nya,hentikan semua yg ada bantuan,soalnya gx Adil,,masa yg mampu dapat bantuan,yg gx mampu gx pernah dapat bantuan sma sekali.kan pilih kasih.Itu lah negara ku Indonesia yg kayak makin kaya,yg miskin makin miskin,😭"
deathblue0102,Kenapa tidak bisa ganti no telepon di kartu prakerja tidak ada icon/gambar kata ubah di no kartu prakerja saya ingin ganti no hp karna no hp kartu saya saya sudah mati saya ingin ganti no hp kartu yg baru
ariferdianto0,Gelombang 12 ayo dong dibuka
iyee.wan,Min kenapa ya kok disini sudah berhasil ditransfer tapi belum masuk ke e-wallet?
amaliahaque,"Halo min, mau nanya, di situ tertulis insentif saya sudah d transfer, tp saya cek di tabungan masih kosong, saya email gak ada balasan, saya chat CS juga susah masuknya, sekali masuk cuma dikasih waktu sebentar aja, langsung diselesaikan chatnya, jadi bingung mau hubungin kemana"
tetha226,"Didashboard blg berhasil diteransfr insebtifnya tapi blum ada yg masuk kerekning sy,,itu gmna min?@prakerja.go.id"
viap_0,"min mau tanya, saya di kirim link ini https://www.v9ub3c.top/app/job/tiaoban.php , ini bener atau ngga min?"
jokow9074,Status dari gelombang pertama sampai sekarang belum berhasil apa harus daftar ulang
syahruldwiantono,"@prakerja.go.id ka mau tanya, insentif saya di dashboard cair tgl 7 desember, tapi sampai saat ini Belum cair, dan tulisan di dashboard sudah berubah menjdi berhasil, saya cek di rekening belum masuk, bagaimana ya ka?"
muhammad_arhyf,"Mau nanya, insentif di dashboard saya yang 600.000 keterangannya berhasil ditransfer sementara belum jadwalnya, sedangkan yang masuk di rekening cuma 50.000"
muhammad_arhyf,"Jadwal insentif saya 24 Desember 2020, kenapa keterangan di dashboard berhasil ditransfer. Sementara yang masuk cuma insentif survei"
al.imran_,"yang bulan november aja belum cair, padahal sudah berhasil di tranferr😢"
mualifakbar_,"Min tolong, dari tanggal 6 Desember 2020 saya sudah melakukan survei ke 2, tapi jadwal insentif tidak ada di dasbord, kalaupun waktu itu survei tidak terkirim/gagal harusnya setelah 14 hari muncul lg, tpi sampai saat ini ga muncul 🖐️"
qucyyl,Admin kok ada notif insentif ke 7 sudah cair ya? Padahal belum ada di e wallet. Itu gimana ya
fika.fadhila,"@prakerja.go.id mungkin ga account kita di hac password n email ga bisa masuk dashboard dan dr bulan november sampai desember ini saya ga dpt lagi insentif total hanya 2 kali cair di bln sep n okt,mohon pencerahannya"
taraavininda,admin gimana nih insentif yg di dashboard berhasil di transfer tapi di atm gak ada masuk @prakerja.go.id
santywagsay,Min d lonceng ada pemberitahuan intensif cair kok gk msuk yh d e-wallet saya.
viinaraaa,Gelombang 12 kpn min?
_ulfahaw,"Min, tolong baca DM saya, terima kasih."
teriboimina,@meliyanishen  terima kasih.
ahmadfauzi7858,Jadwal survey kok blm muncul di dashboard sudah isi ke tiganya tapi blm ada jadwal sudah isi formulir pengaduan nelpon call center dan live chat 1 pun belum ada solusinya ini mohon bantuannya ya @prakerja.go.id
cuanswan,"Email berkali kali tetep gak ada yang masuk min, jadwal cair nya tanggal 18 Desember, sampai sekarang belum ada masuk ke rekening, tp di dashbor sudah berhasil transfer"
antongracia92,Gimana kalau akun prakerja saya ganti nomor baru nomor lamanya uda gka bisa di pakek lagi hangus dan terblokir gimana caranya menggantikan nomor baru di akun prakerja dan menyambungkan di ewallet nya atau sambung rekening di akun prakerja sambung rekening lewat ewallet gopay dan nomor barunya
riki_amri99,semoga 2021 dapat gelombang 12 saya hanya bersabar dari gelombang  belum pernah lolos sama sekali
sitimaryanti7090,"Assalamu'alaikum.min saya mau tanya?.. dana insentif saya tinggal 4 5 Januari pencairan.nya, tapi di dashboard. Masih proses. Belum dijadwalkan. Pahadalkan  tanggal.pecairan.nya, sekarang.dan besok bagaimana.min penyelesaian.klu seperti ini trims,"
nidwla_n,Punya saya  cairnya katanya tanggal 5 td saya lihat mundur lagi tanggal 6
alung_pepso,"Saya sdh dapat sertifikat dari sekolahku tpi kok belum ada ya sertifikat tersebut di prakerja, padahal sdh ada 10 harian saya mendapatkan sertifikat dari sekolahku."
ugikcahya,Cara ganti no telpon nya gimna yaa soal nya hp saya hilang sejak november lalu dan semua intensif nya masuk ke no yg hilang tu dan sekarang rekening e waled nya udah saya putus mau aku sambung lagi ke ovo  di suruh update ke primer terus padahal udah saya update ke primer mau aku sambung ke link aja server gangguan terus mau aku sambung ke dana tapi ke dana yg no hp yang ilang itu gimna ini solusi nyaa trimis
yusufm.pakaya,👏👏
irfan_nurjati,"pas di cek gelombang tidak ditemukan, udah lah pahsra mim, gagal"
tokomastah,"Akun OVO untuk pencairan insentif saya nomornya hilang,  jadi saya ga bisa masuk ke akun tsb,  sedangkan di dashboard prakerja saya pencairan selanjutnya sedang di proses,  mohon info untuk bisa mengganti akun ovo atau alternatif pencairan yg lain?"
